,date,day_total_infected_indv
1,1/30/2022,3
2,2/6/2022,0
3,2/13/2022,3
4,2/20/2022,0
5,2/27/2022,3
6,3/6/2022,0
7,3/13/2022,0
8,3/20/2022,0
9,3/27/2022,6
10,4/3/2022,4
11,4/10/2022,2
12,4/17/2022,0
13,4/24/2022,5
14,5/1/2022,11
15,5/8/2022,6
16,5/15/2022,104
17,5/22/2022,330
18,5/29/2022,606
19,6/5/2022,674
20,6/12/2022,1033
21,6/19/2022,1721
22,6/26/2022,2048
23,7/3/2022,3076
24,7/10/2022,3434
25,7/17/2022,3981
26,7/24/2022,6253
27,7/31/2022,5890
28,8/7/2022,6980
29,8/14/2022,6066
30,8/21/2022,6378
31,8/28/2022,5263
32,9/4/2022,4347
33,9/11/2022,414
